태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,2D여고생 젖탱이가 더 꼴림,,에로2002,,,,,미틴년,,,,
,법이 개젖같노 ㅋㅋㅋㅋ,,에로2030,,,,,미틴놈,,,,
,진짜 주제 모르고 존나 나대네 ㅋㅋ,,에로69,,,,,미틴뇬,,,,
,성형했냐? 눈깔이 다르네,,에로69TV,,,,,밑구녕,,,,
,병신이 가치높일시간에 그년 따른남자랑 앙 오빠하면서 질꺽질꺽 하응하응 거린다. 뭘 활용할 생각을 하니 ㅋㅋㅋㅋ 세상이 뭐 너에게 진취적으로 나아갈길을제시하는것같음? 그거 다 니 착각이다. 인생에 규칙은 없다. 니가 그렇게 생각하건 말건 니자유임.,,에로79,,,,,밑구멍,,,,
,노가다 힘들어서 못버티고 가는 사람들 많다 개병신아,,에로걸즈,,,,,밑꾸녕,,,,
,개인적으로 궁금한게 일이 좆같거나 사람이 좆같으면 직장을 옮기는게 맞는거아니냐? 왜 자살을함? 자살할 용기보다 이직할용기가 쉬울꺼같은데...;,,에로게이트,,,,,밑꾸뇽,,,,
,@시계는아침부터똑딱 윤지오같은 애들하고나 어울리는거 보면 원래 개념없는 년인건 확실,,에로게임,,,,,밑힌년,,,,
,죄다 거지들 차,,에로관,,,,,㉥㉥ㅏ,,,,
,스타워즈 클론 전쟁 씨발년아,,에로극장,,,,,ㅂㅈ,,,,
,씨발넘들,,에로니폰,,,,,ㅂㅂㅏ구ㄹㅣ,,,,
,게이애 침착하고,,에로닷컴,,,,,ㅂㅂㅏ구리,,,,
,전라도 뺴먹지 마라...   요즘 좀 안쳐맞더니 간이 커져서 대한민국을 망치려 든다,,에로당,,,,,ㅂㅅ,,,,
,불가능함 ㅋㅋㅋㅋ인건비싸니까 외국제조업체들이 잠깐 들리는거지지들잘나간다고 착각하는거고관광? ㅋㅋㅋㅋㅋㅋ 그걸로는 한계 전세계 정액받이들러리밖에안됨한국도좆도없는데 그러니 박정희가 뛰어난거다좆도아닌국가에서 산업국가로 뛰어넘은게그게 50년 당시 더 잘살던 베트남 필핀 태국 과의 클라스의차이지,,에로데이,,,,,ㅂ지,,,,
,주작무새들이 간과하는게 진짜 세상엔 별의별놈 다있음. 자기가 못봤다고 다 주작이 아니라 말이 안될거 같지만 저런일이 있을수 있다는 가능성을 열어둬야함.,,에로동,,,,,ㅂㅓ즤,,,,
,정치병자틀딱ㅈㅎ,,에로동영상,,,,,바그네,,,,
,월세도 못 내는 놈한테 칼춤 한번 처주고 평생 깜빵에서 살려고 ㅋ,,에로디비,,,,,바근가시네,,,,
,따면 개이득이이고 꼴면 세입자힌테 미안해서봐주게됨,,에로무비,,,,,바주카자지,,,,
,외노자게이였노,,에로물,,,,,박고빼고,,,,
,정봉주 같은애가  국회의원을 했다는것만으로조선인 수준이 적나라하게 드러난거지,,에로뮤직비디오,,,,,박고싶,,,,
,ㅇㅇ... 섹스가 의무적이 되는것..정말 힘든 일...동거는 진짜 해봐야한다.,,에로바다,,,,,박을년,,,,
,문재앙 정권과의 커넥션을 찾는 수사처를 지맘대로 폐쇄하는 걸 말하는 거니까,,에로방티브,,,,,밖에다쌀께,,,,
,모발이식 틀딱들이 하면 가끔 붓는 경우도 있긴 함,,에로배우,,,,,발기,,,,
,뭔개소리야 진짜 한국인 자체가 병신이라니까 남자든 여자든 틀린걸 개선시켜려는게 목적이 아니라 그걸 빌미삼아서 인격비하하고 우위에 서려는게 종특인데,,에로비,,,,,발넘,,,,
,조선놈이 미국시민권 재미교포한테 개기는거 보소. 너 영어 첨부터 다시 공부해야겠다. 그지같은 또라이야. 어디서 영어도 제대로 못읽으면서 선동질이야. ㅁㅈㅎ.,,에로비디오,,,,,발년,,,,
,니엠착한불고기,,에로비안나이트,,,,,발정,,,,
,행복회로 그만 돌려라 !! 문제인 옥바라지나 똑바로 하고,,에로샵,,,,,배위에싸죠,,,,
,ㅁㅊㄴ ㅋㅋㅋ,,에로세일,,,,,배째,,,,
,채영보다 천배 이쁜데 채영을 갖다대노,,에로섹스TV,,,,,배째라게세끼,,,,
,등신새끼,,에로소라가이드,,,,,백보디,,,,
,청소기 시발 극혐이네 다이슨 미만 전부 짭,,에로쇼,,,,,백보지,,,,
,아 니미 첨 알았네이거 누가 갈켜준적도 없고..책에는 있었겠지만 오늘 첨 알았어,,에로스,,,,,밸년,,,,
,개독아 배워라~,,에로스TV,,,,,밸놈,,,,
,말만 들어도 역겹다 아무리 세상이 살기좋아졌다지만 인간이라고 다같은 인간이 아님 ㅉㅉ,,에로스데이,,,,,뱅신시키,,,,
,ㅋㅋㅋ 애쓴다 ㅉㅉ,,에로스아시아,,,,,버따리자지,,,,
,다음 생에는 갓남으로 태어나라 갓남 찐 장애인으로,,에로스재팬,,,,,버얼려서너어,,,,
,술이식기전 ㅂㅅ아,,에로스코리아,,,,,버쥐,,,,
,일베버러지들아,,에로스쿨,,,,,버즤,,,,
,들어와 봤자 도와준 정치인 새기들 더 시끄러워짐,,에로스타,,,,,버지벌렁벌렁,,,,
,노령연금 무상진료 혜택보는 개돼지가 세금내는 우리보다 훨씬많아서 글쌔다,,에로스타일,,,,,벌창같은년,,,,
,사표 던지면 빨갱이만 더 좋게 해주는 거잖아,,에로스페셜,,,,,벗겨보니그날,,,,
,병신새끼들 ㅋㅋ 조센은 뭐 깨끗한줄아네 짱퀴벌레랑 동급이면서,,에로스포유,,,,,벗겨보니남자,,,,
,병신동네에서 알바나 하는 주제에 이런글 쓰면 뭐 되는 거 같냐너나 걔네나 똑같이 미개한 놈들이지,,에로시네마,,,,,벗겨보니내딸,,,,
,글쓴거 보면 ㅈㄴ 탐정도 아니고 공부해서 무슨 의미인지 맞춰야해. ㅅㅂ,,에로시안닷컴,,,,,벗겨보니숙모,,,,
,형  50대 미시까지는 먹을수있다,,에로시티,,,,,벗겨보니처재,,,,
,"150,000만원 무식한 새끼는 ㅁㅈㅎ",,에로씨네,,,,,벗겨보니처제,,,,
,서울 집값 씹창나면 탈조선감,,에로아시아,,,,,벗겨보니형수,,,,
,저게 빅데이터를 활용한 관리다 어떻게 저런걸 사람이다 분류하겠냐? 야동이어도 파일이름에 근친 가슴 누나 봊이 이런거있으면 바로 컴퓨터가 걸러내는거고야동을저장해도 다른이름으로 해야함,,에로앤섹스,,,,,벙섹,,,,
,자 이거 책임지셔야죠 캐삭빵 가자니까요 한국출판사 번역된거 인증으로 ㅋㅋ 겁나요? ㅋㅋ,,에로야,,,,,벨년,,,,
,메퇘지년들한테 놀아나지좀마라 저능아새끼야 재미도없고 존나 억지구만ㅁㅈㅎ,,에로에스,,,,,벨놈,,,,
,근데 저거 검색해보니까 일본에서 아이들이 밖에서 늦게까지 놀러다니지말라고 부모들이 지어낸 이야기노 ㅋㅋ 시발,,에로엔조이,,,,,벼엉신,,,,
,저 정도면 취미로하는 새끼인듯,,에로영화,,,,,변섹,,,,
,그러게... 요새 짱깨들이 일베에서 분탕을 존나 치는 듯,,에로영화관,,,,,변태,,,,
,뚱녀는 좆을 진짜 닭다리 빨아먹듯이 빨음 정액도 잘먹음 그외엔 무쓸모,,에로올,,,,,병ㅅ새,,,,
,이게 맞지 시발 무슨 광고영상편집자도 아니고 유튜브 영상 편집인데 얼마나 개 씹 고급 영상 만든다고?... 돈 많이 벌면 시급 많이 줘야한다는 개 좆 논리는 어디서 튀어나왔지; 못배워먹은새끼,,에로와이프,,,,,병쉰,,,,
,ㅈ까는 소리하네 ㅋㅋ 걔네가 하는 땜질이랑 노가다 김씨 땜질이랑 같냐고 니 말하는게 지잡대 까니까 지잡대 재학생이 의대생은 공부 잘하거든? 이거란 똑같은 소리임,,에로이브,,,,,병시나,,,,
,편돌이주제에 ㅋㅋㅋㅋ ㅅㅂ 누굴 평가해 ㅅㅂ거,,에로존,,,,,병신,,,,
,섹스,,에로주,,,,,병신년,,,,
,미국이 잘도 미개한 똥양인 반도새끼들을 51번째 주에 넣어주겠다ㅋㅋㅋㅋ한치앞도 못보는 병신 개돼지들 투성이에대표로 뽑은 새끼가 문재인ㅋㅋㅋ 수준ㅋㅋㅋㅋㅋㅋㅋㅋ,,에로촬영현장,,,,,병신놈,,,,
,에휴...대구빡들....,,에로카,,,,,병신새,,,,
,"본인, 준틀딱이라 도저히 이해가 안가는데... 일종의 놀이문화 아닐까?...  펭수도 그렇고... 모르겠다",,에로클릭,,,,,병신쪼다,,,,
,미국 나름 오래 살았는데 CC 근처에 가본적이 없어서 학비가 3500불 하는 학교가 미국에 있는 줄도 몰랐네 ㅅㅂ ㅋㅋ 컴칼다니면서 저러고 있으면 ㅆㅎㅌㅊ 인생인데 ㅋㅋ 그래도 차라리 한국에서 일베나 쳐하는 놈들은 돈이라도 안쓰지.,,에로투유,,,,,보g,,,,
,니 잘못인데 왜 좆같노... 이제부터라도 좋은 삶을 살도록 노력하면 되지,,에로틱코리아,,,,,보x,,,,
,보내줄꺼 보내주고 이제 시작하는일에 더 집중하는게 맞지 뭘 ㅋㅋㅋ 시발,,에로파크,,,,,보z,,,,
,호남향우회들 열렬한 지지 남평문씨 북한홍어 좆재인,,에로패티시,,,,,보오지,,,,
,너는 지금 돈없는 대학생이 맥북쓰며 자 위질 하는걸 역겹게 보고 나서 나도 그런 사람이라고 단정짓고 나서,,에로팬티,,,,,보우지,,,,
,쓰레기들이 쓰레기통으로 자동 분리되었군,,에로플래쉬,,,,,보ㅈㅣ,,,,
,지 딸한테 혀넣는 놈도 있다는데 이것쯤이야,,에로필름,,,,,보주ㅣ,,,,
,나도 아버지 원주세브란스 입원했을때근처 모텔에 며칠 투숙햇는데소리 들리더라... 햐..꼴리면서 뭔가 자괴감들고... 암튼 슬펏음 ㅅㅂ..,,엑스노브라,,,,,보쥐,,,,
,이국종도 지난번에 욕처먹을짓 했잖아이재명 탄원서 제출한거 ㅋㅋㅋ난 그거 보고 아 저분도 그짝이겠다싶었다,,엑스모텔,,,,,보즤,,,,
,배성재 저놈이 저러니깐 더 이상하다.논란되는 애들 존나 칼같이 컷하네 ㅋㅋㅋㅋ,,엑스투어덜트,,,,,보지,,,,
,보증금 없다고 안주는 거지 주인 새끼들도 존나 많음돈 앞에선 다 거짓이고 눈탱이야 ㅋㅋ,,엔터채널,,,,,보지구멍,,,,
,넌 시발 뭐하는 새끼인데 여기서 이지랄이냐? 기술이나 배워라.,,여성성인용품,,,,,보지녀,,,,
,쓰레기들,,여성자위기구,,,,,보지년,,,,
,아줌이 왜 좋냐?,,여자보지,,,,,보지뇬,,,,
,쓰레기새끼들이다 진짜,,연인사이성인샵,,,,,보지벌,,,,
,국민들이 빡치면 어쩔건데?,,엽기에로,,,,,보지빨,,,,
,대견 하긴 한데 젊음이 아깝다 이쁠때 꾸미고 즐기다 나이들어서 해도 되는데 얼굴 손 다 망가지고뭔가 비효율적으로 보이는,,엽기적인섹스,,,,,보지털,,,,
,칼로 죽여야 살인이냐.. 주뎅이에 병균 쳐 넣고 돌아다니는건 세균전이라 생각이 든다.,,오나니,,,,,보짓,,,,
,파티는 무슨 옥탑방에서 가스렌지놓고 캔맥까면서 삼결삽처먹는게 파티냐 븅신새끼 파티는 클럽이나 호텔가서하는게 파티고 니새끼가하는건 궁상이다,,오럴섹스,,,,,보짓년,,,,
,제발 사형시켜라 좀,,오렌지야동,,,,,보짓물,,,,
,둘다 해당되는거지 지금의 신생아들이 30년 정도뒤에 현 3~40대 틀딱이된 정년퇴임자들의 연기금을 매꿔줘야하는데 인구절벽 때문에 그럴 가능성이 거의 없고 그거에 맞춰 법 개정이 될거야 이대로 가면 답이 없음지금부터 아끼지 않으면 시간이 흐리면 흐를수록 더 좆됨,,오르가즘,,,,,보짖,,,,
,좆급식부터 철딱서니 없는 20대 초반 여자들이,,오마담,,,,,보찌,,,,
,이제 버러지들 몰려와 신고하여 블라인드 만들겠죠. ㅠ,,오마이에로,,,,,보탱,,,,
,"이래서 스스로 걸리거든 ""죄인들이""~ㅎㅎㅎ 재미보고 털리고 그치~~~?",,오마이포르노,,,,,보털,,,,
,할말이 없노 ㅋㅋㅋㅋ 아이큐 두자릿수 예상한다,,오빠아파,,,,,보텡,,,,
,근데 안산이면 조선족한테 칼빵 맞기 좋은 동네 아님? ㄷㄷ 방검복 필수로 착용하고 다녀야겠네.,,오빠아파닷컴,,,,,봇털,,,,
,"조선의 천박한 의식은 바로 '공부'에 대한 개념 인식에 있다.조선에서 공부란, 말 그대로 공부를 위한 공부일 뿐. 국영수 시험쳐서 점수 매기는 '수험'을 공부라고 생각하는 아주 천박한 의식이다.용접을 하기 위해, 전기나 가스의 특성을 이해하고 금속의 성질을 터득하며 용접행위를 통해 생활에 유용한 여러 가치를 창출해 내는 그 모든 과정이 다 '공부'다.근데 정작 조선에서 공부를 잘한다는 사람들이 국영수 배워서 남들에게 유용한 도움을 주는게 뭐가 있냐?수험으로서 배운 국영수가 대체 사회와 공동체, 국가에 어떤 창의적이고 실용적인 도움이 되는거냐?저 여자강사처럼 기껏 수학 배워봤자 인류 발전을 위해서 쓰는게 아니라 그저 애들 수학 '점수' 높여주는데만 활용함. 그게 다임.정작 현실에 어떤 실용적으로 활용되는게 아니라 그저 시험의 '점수'만 높이려는게 이 천박한 조선의 공부다.이딴 썩어빠진 나라에 무슨 창의력이 있고, 기술 발전이 있고, 문화 발전이 있겠냐.그저 선진국들 시다바리나 하면서 평생 하청이나 받아 쳐먹고 살아야지.. ㅉㅉ",,오빠아퍼,,,,,봊이,,,,
,높은 수요로 인해 실력이 없고 사명감만 뛰어난 병신들만 의사로 남아있겠지.,,오사카섹스,,,,,봊지,,,,
,근데 장난 농담 때리노 ㅅㅂ련아 표현 같은 소리 하고 있다  표현은 ㅅㅂ 에로DVD 작가한테 가서 표현배우고,,오성인,,,,,뵤오지,,,,
,태생자체가 천박한 전라도핏줄ㅜㅜ..굳이 여기까지와서 천성인 분탕질ㅜㅜ...여기온 전라도 새끼들은 맺힌게 많은듯ㅜㅜ,,오섹스,,,,,뵤즤,,,,
,비싸게 판게 아니라 정가에 파는게 뭐가 문제냐? 게이는 무슨일 하길래? 지인한테 싸게 사려는 기생충 집단이 되지말고 이왕 같은가격이면 지인을 도와준다는 마음으로 사주는 리더 집단이 되어보자 가령 식당가서 사장이랑 친하니까 깍아달라 노가다 뛰는데 친하니까 일당좀 깍아서 해달라고 하는거나 마찬가지임. 친구는 자신의 일에 자부심을 갖고 일하는것 같은데 뒤에서 욕하진 말자 진심으로 대하면 언젠가는 다 돌려받는다 게이야,,오섹스야,,,,,뵤지,,,,
,캡쳐잘했노 틀딱새끼들 스크롤캡쳐도못함 뇌가 풍화되서그런가 ㅇㅂ,,오섹스테레비,,,,,부랄,,,,
,좆문대도 잘만가더라 ㅋㅋ,,오예성인영화,,,,,부럴,,,,
,걍 해본말인데 또 발기하노 ㄷㄷ,,오이섹스,,,,,부부교환,,,,
,이거 니들이 운전면허 필기 시험볼때 공부 안하고 쳐봐서 그래시발 나는 공부 존나 해서 저런거 까지 아직도 기억한다,,오케이섹스,,,,,불넘,,,,
,야임마 내친구 소방관인데 시골이라가 불안나고 맨날 대기중인데나이 서른중반에 월 세후 사백넘게가져간다등신들 뭣하러 사기업다니노잘릴 걱정없지 이제 국가직되면 혜택 개쩔지사기업 좃소 사장 직원 개새끼들아열심히 손발 잘리고 야근 좃빠지게 해가수출 많이해서 세금 많이내라내친구는 얼굴펴가 차도 벤츠 e300타고일도 개편하지소방관이 그렇게 꿀인줄 몰랐단다힘든척하는거 진짜 가끔이벤트라는데조선소 기타 제조업 사망사고비하면 워라벨 개쩐다고함좃소 대기업 직원들 평생 인생 갈아넣어라 ㅋ나도 소방관되어서 개꿀빨아야지,,오케이섹스TV,,,,,불알,,,,
,용접 좆같은거 맞잖아?용접이 세상 사람들 전부 하고싶은 꿀직장이냐?몸에 해로운 노동직이잖아? ㅋㅋ,,오케이섹스molca포르노,,,,,붕알,,,,
,벌레공무원 월급노예들보단 나라에도움됨ㅋㅋㅋㅋㅋㅋ,,오케이섹스티비,,,,,붜지,,,,
,"댓글 중 ""선동 당해서 촞불든 개,돼지 홍어들도 단죄를 받아야 할 공범자들이다""에1000000000000000000000000000000000000000000000000000000000000000ㅂ!",,옷벗기기,,,,,븅신,,,,
,"서비스 이용하는데 돈 내야하는건 당연한거고,그걸 포괄제로 받다가 가격인상요인이 많으니포괄안하고 개별로 받겠다는데 왜 지랄임?결국 배달료 이후 배달사업이 존나 커지고소비자는 집에서 대부분 사먹을 수 있게된게 팩트임.빠바 생기고 동네빵집 망했다 선동수준이네 븅신새끼",,옷벗기기게임,,,,,브랄,,,,
,일본이 모든 음식의 기원한 곳이라고 한거 너잔아 씨발년아',,와우섹스,,,,,블알,,,,
,일단 니부터 접어 씹새야  일베는 내 마음의 고향이자  내 마음속 친구들임  그게 쉽게 끊어 지겠냐?,,왕가스,,,,,븽시,,,,
,쟤들정 하나랑  결혼하기vs아다 메갈년이랑 결혼하기,,용주골,,,,,빙신,,,,
,삼성전자 부장으로 퇴사했는데 떡볶이 장사한다고?? 말이 됨? 글로벌 초대형 기업 디렉터급 출신이 퇴사했다고 할 일이 그것밖에 없냐 좃나 무능한가보네,,우라본섹스코리아,,,,,ㅃR,,,,
,감옥은 일게이가 간다...,,울트라섹스제팬,,,,,ㅃr굴,,,,
,하지만 웃긴건 진짜 사회주의 사회가 되면 저런 실력있고 착한 의사가 안 나온다는거지 ㅋㅋ 실력있는 의사가 안 나오거든 ㅋㅋ 유럽이 딱 끄짝이지 ㅋㅋ,,원조교제,,,,,ㅃㅏㄱㅜ,,,,
,무현이는 인권없는겨?,,월드섹스,,,,,ㅃㅏ구ㄹㅣ,,,,
,밍하니깐  좆성이  존나게 투자 하는거지 증설 증축하고?https://m.post.naver.com/viewer/postView.nhn?volumeNo=27068083&memberNo=11919328&vType=VERTICAL,,웹섹스코리아,,,,,ㅃㅏ구리,,,,
,검머외 외국인들 뮨재잉 찬양하는 인간들 많지않냐??? ㅎㅎㅎㅎ 뒤통수 거하게 쳐맞았네 ㅎㅎ,,유호필름,,,,,ㅃㅏㄹㅏ,,,,
